"Item.ID","Order.ID","Order.Date","Place.of.Shipment","Payment.Terms","Qty","Item.Name","Item.Type","Brand","Price","UOM"
"121 001","32 90 027","11-Dec-11","Pune","Online",18,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 012","14-Apr-11","Raigad","Online",35,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 045","10-Oct-12","Ratnagiri","Cheque",36,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 023","12-Oct-11","Raigad","Online",31,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 064","12-Jun-13","Aurangabad","Cash",26,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 046","12-Nov-12","Raigad","Cash",38,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 008","15-Mar-11","Pune","Online",26,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 031","23-Jan-12","Ratnagiri","Cash",19,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 014","23-May-11","Goa","Cash",9,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 047","13-Nov-12","Sindhudurga","Cheque",37,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 033","13-Mar-12","Thane","Cash",14,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 006","1-Mar-11","Buldhana","Online",45,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 001","31-Dec-10","Pune","Cheque",15,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 055","11-Feb-13","Mumbai","Cash",49,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 026","20-Nov-11","Dhule","Online",3,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 005","19-Feb-11","Kolhapur","Cash",30,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 010","29-Mar-11","Thane","Online",44,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 025","13-Nov-11","Nanded","Cheque",46,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 022","28-Sep-11","Ratnagiri","Online",20,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 058","13-Mar-13","Raigad","Cheque",48,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 046","12-Nov-12","Raigad","Cash",41,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
"121 001","32 90 037","22-Apr-12","Goa","Online",21,"Parker Quink Roller Ball Pen Refill, Blue","Pen","Parker",69,"Piece"
